customer_id,customer_city,occupation,income_bucket,joining_date,customer_tenure_months,primary_card_type,preferred_rewards_category,avg_monthly_spend,spend_segment
CUST0000035,Nagpur,Government Employee,3L-7L,2022-03-16,53.0,Commercial,General/cashback,10908.825,Medium
CUST0000036,Jaipur,Government Employee,15L-30L,2019-03-22,88.0,Consumer,Travel,34312.66166666667,High
CUST0000037,Ranchi,Government Employee,7L-15L,2019-02-07,90.0,Consumer,Health,11118.755,Medium
CUST0000038,Pune,Business Owner,7L-15L,2018-09-24,94.0,Corporate,Health,7498.171666666666,Medium
CUST0000039,Coimbatore,Salaried,3L-7L,2018-08-14,96.0,Consumer,Travel,10553.595000000001,Medium
CUST0000040,Bhopal,Business Owner,15L-30L,2021-07-19,61.0,Commercial,Travel,29645.324999999997,High
CUST0000041,Indore,Government Employee,30L+,2020-11-10,69.0,Consumer,Dining,143366.94333333333,Very High
CUST0000042,Madurai,Freelancer,<3L,2023-12-02,32.0,Commercial,Dining,8963.75,Medium
CUST0000043,Coimbatore,Government Employee,15L-30L,2023-06-23,37.0,Commercial,Dining,31531.732857142862,High
CUST0000044,Lucknow,Student,3L-7L,2022-12-03,44.0,Commercial,Shopping,24377.792500000003,High
CUST0000045,Surat,Business Owner,7L-15L,2023-06-01,38.0,Consumer,Dining,16589.239999999998,Medium
CUST0000046,Chennai,Retired,3L-7L,2019-12-21,80.0,Consumer,General/cashback,21885.739999999998,High
CUST0000047,Nagpur,Salaried,7L-15L,2019-06-06,86.0,Consumer,Travel,14921.409999999998,Medium
CUST0000048,Chandigarh,Student,3L-7L,2024-06-01,26.0,Consumer,Travel,4308.008,Low
CUST0000049,Madurai,Retired,3L-7L,2020-05-17,75.0,Consumer,Shopping,4610.094000000001,Low
CUST0000050,Kolkata,Salaried,15L-30L,2022-09-04,47.0,Commercial,Dining,23676.468571428577,High
CUST0000051,Mumbai,Salaried,15L-30L,2021-06-29,61.0,Consumer,General/cashback,33671.409999999996,High
CUST0000052,Lucknow,Self-employed,7L-15L,2022-03-27,52.0,Commercial,Dining,10996.366666666667,Medium
CUST0000053,Delhi,Government Employee,3L-7L,2023-07-10,37.0,Consumer,General/cashback,32901.608,High
CUST0000054,Hyderabad,Salaried,15L-30L,2019-10-04,82.0,Consumer,Travel,42079.494,High
CUST0000055,Chennai,Self-employed,3L-7L,2022-08-06,48.0,Consumer,Dining,2443.4674999999997,Low
CUST0000056,Indore,Self-employed,7L-15L,2021-10-31,57.0,Consumer,Fuel,14676.800000000001,Medium
CUST0000057,Bengaluru,Self-employed,3L-7L,2020-12-04,68.0,Consumer,Travel,6836.66,Medium
CUST0000058,Bengaluru,Student,7L-15L,2021-04-23,63.0,Consumer,Travel,12531.023333333333,Medium
CUST0000059,Mumbai,Self-employed,7L-15L,2023-04-30,39.0,Commercial,Health,11209.938,Medium
CUST0000060,Visakhapatnam,Self-employed,30L+,2020-06-12,74.0,Commercial,General/cashback,100397.52666666666,Very High
CUST0000061,Nagpur,Government Employee,15L-30L,2023-06-23,37.0,Consumer,Dining,10163.446,Medium
CUST0000062,Mumbai,Salaried,3L-7L,2019-10-11,82.0,Consumer,General/cashback,4696.905,Low
CUST0000063,Mumbai,Salaried,15L-30L,2020-08-01,72.0,Corporate,Health,34414.19285714286,High
CUST0000064,Jaipur,Salaried,3L-7L,2022-06-02,50.0,Consumer,Shopping,1927.0375000000004,Low
CUST0000065,Bengaluru,Retired,7L-15L,2022-04-29,51.0,Consumer,Shopping,19261.123999999996,Medium
CUST0000066,Lucknow,Government Employee,3L-7L,2023-05-27,38.0,Consumer,General/cashback,9694.1325,Medium
CUST0000067,Kolkata,Business Owner,15L-30L,2021-10-18,58.0,Consumer,General/cashback,52471.18400000001,High
CUST0000068,Patna,Salaried,15L-30L,2023-05-05,39.0,Consumer,Fuel,33831.022,High
CUST0000069,Chennai,Self-employed,30L+,2021-06-02,62.0,Consumer,Shopping,95303.39500000002,Very High
CUST0000070,Nagpur,Business Owner,3L-7L,2023-06-22,37.0,Corporate,General/cashback,3247.0983333333334,Low
CUST0000071,Mumbai,Self-employed,<3L,2019-03-02,89.0,Consumer,Health,550.5600000000001,Low
CUST0000072,Bhubaneswar,Salaried,7L-15L,2023-09-28,34.0,Consumer,Health,4604.969999999999,Low
CUST0000073,Mysuru,Salaried,3L-7L,2020-03-01,77.0,Consumer,Fuel,7189.219999999998,Medium
CUST0000074,Indore,Retired,7L-15L,2021-10-23,57.0,Commercial,General/cashback,7980.411666666666,Medium
CUST0000075,Kolkata,Business Owner,30L+,2022-05-30,50.0,Corporate,Shopping,154798.55833333335,Very High
CUST0000076,Hyderabad,Salaried,3L-7L,2023-05-03,39.0,Consumer,General/cashback,9983.91,Medium
CUST0000077,Bhopal,Student,<3L,2020-08-25,71.0,Consumer,General/cashback,26956.098000000005,High
CUST0000078,Indore,Self-employed,15L-30L,2019-10-16,82.0,Consumer,Fuel,34716.52,High
CUST0000079,Chennai,Freelancer,15L-30L,2020-08-03,72.0,Commercial,Dining,30243.235000000004,High
CUST0000080,Kolkata,Salaried,30L+,2024-06-01,26.0,Corporate,Travel,110097.43500000001,Very High
CUST0000081,Kolkata,Retired,15L-30L,2019-07-01,85.0,Consumer,Dining,27862.155,High
CUST0000082,Coimbatore,Salaried,3L-7L,2018-10-12,94.0,Consumer,Fuel,4152.455000000001,Low
CUST0000083,Nagpur,Retired,15L-30L,2020-03-30,76.0,Commercial,Travel,27543.215,High
CUST0000084,Kochi,Freelancer,7L-15L,2024-05-04,27.0,Corporate,General/cashback,23308.072,High
CUST0000085,Kochi,Salaried,30L+,2021-06-07,62.0,Consumer,Travel,60796.854285714275,Very High
CUST0000086,Hyderabad,Salaried,7L-15L,2022-06-30,49.0,Consumer,Travel,5822.526,Medium
CUST0000087,Pune,Government Employee,7L-15L,2020-07-22,72.0,Consumer,Health,4215.284000000001,Low
CUST0000088,Mumbai,Salaried,7L-15L,2019-12-17,80.0,Consumer,Shopping,14752.104000000001,Medium
CUST0000089,Bhopal,Salaried,3L-7L,2019-03-04,89.0,Consumer,Dining,5926.325,Medium
CUST0000090,Kolkata,Business Owner,30L+,2019-04-06,88.0,Commercial,Dining,81007.38833333334,Very High
CUST0000091,Kolkata,Salaried,30L+,2018-09-17,95.0,Corporate,Health,125049.53500000002,Very High
CUST0000092,Hyderabad,Self-employed,7L-15L,2023-11-26,32.0,Consumer,Shopping,11394.910000000002,Medium
CUST0000093,Mumbai,Business Owner,30L+,2023-09-21,35.0,Consumer,Shopping,87550.52285714286,Very High
CUST0000094,Lucknow,Salaried,3L-7L,2019-09-06,83.0,Consumer,Dining,15882.916666666666,Medium
CUST0000095,Hyderabad,Salaried,15L-30L,2020-03-07,77.0,Commercial,Fuel,40801.573333333334,High
CUST0000096,Mumbai,Salaried,15L-30L,2019-12-22,79.0,Corporate,Health,26309.221666666665,High
CUST0000097,Chandigarh,Student,7L-15L,2023-01-11,43.0,Consumer,Dining,9770.46,Medium
CUST0000098,Pune,Salaried,15L-30L,2021-09-12,59.0,Consumer,Dining,32834.206666666665,High
CUST0000099,Pune,Business Owner,15L-30L,2020-08-13,72.0,Commercial,Shopping,27558.64333333333,High
CUST0000100,Kolkata,Business Owner,7L-15L,2020-09-16,71.0,Commercial,Travel,25694.27666666667,High
CUST0000101,Bhopal,Freelancer,7L-15L,2019-05-05,87.0,Consumer,Shopping,1273.705,Low
CUST0000102,Chennai,Salaried,15L-30L,2022-03-31,52.0,Consumer,Travel,28947.781666666666,High
CUST0000103,Chandigarh,Salaried,3L-7L,2019-06-21,86.0,Corporate,Fuel,13069.817500000001,Medium
CUST0000104,Ranchi,Self-employed,<3L,2022-07-29,48.0,Commercial,Health,1299.3325,Low
CUST0000105,Kochi,Business Owner,7L-15L,2019-12-04,80.0,Corporate,Travel,11578.598333333333,Medium
CUST0000106,Kolkata,Freelancer,15L-30L,2024-03-22,28.0,Corporate,General/cashback,41485.555,High
CUST0000107,Chandigarh,Salaried,15L-30L,2023-03-16,41.0,Consumer,General/cashback,23725.968333333334,High
CUST0000108,Kolkata,Freelancer,7L-15L,2024-05-18,27.0,Commercial,Travel,9882.386666666667,Medium
CUST0000109,Pune,Salaried,3L-7L,2023-02-21,42.0,Consumer,Fuel,11356.248333333335,Medium
CUST0000110,Ahmedabad,Self-employed,7L-15L,2021-04-22,63.0,Consumer,Health,13175.764000000001,Medium
CUST0000111,Chennai,Self-employed,30L+,2019-04-08,88.0,Commercial,Shopping,79362.63428571427,Very High
CUST0000112,Delhi,Salaried,30L+,2024-05-07,27.0,Corporate,Travel,48357.28124999999,High
CUST0000113,Pune,Student,15L-30L,2020-12-16,68.0,Corporate,Shopping,24246.108333333337,High
CUST0000114,Delhi,Business Owner,7L-15L,2023-09-10,35.0,Consumer,Travel,23062.36333333333,High
CUST0000115,Pune,Salaried,15L-30L,2023-05-23,38.0,Consumer,General/cashback,34560.16285714286,High
CUST0000116,Jaipur,Salaried,3L-7L,2023-11-06,33.0,Consumer,General/cashback,20181.089999999997,High
CUST0000117,Ranchi,Freelancer,15L-30L,2020-12-09,68.0,Corporate,General/cashback,41905.060000000005,High
CUST0000118,Mumbai,Government Employee,7L-15L,2020-09-03,71.0,Commercial,Travel,4773.0975,Low
CUST0000119,Chennai,Salaried,3L-7L,2022-10-13,46.0,Consumer,Shopping,7305.273333333334,Medium
CUST0000120,Kolkata,Salaried,7L-15L,2020-06-18,74.0,Consumer,Shopping,15968.549999999997,Medium
CUST0000121,Mumbai,Business Owner,15L-30L,2022-01-19,55.0,Corporate,General/cashback,71554.33142857143,Very High
CUST0000122,Hyderabad,Self-employed,3L-7L,2019-12-16,80.0,Consumer,Fuel,13684.578,Medium
CUST0000123,Delhi,Salaried,3L-7L,2021-04-27,63.0,Consumer,Shopping,6118.471666666667,Medium
CUST0000124,Hyderabad,Self-employed,15L-30L,2018-08-30,95.0,Commercial,Health,39099.64166666667,High
CUST0000125,Hyderabad,Self-employed,30L+,2020-06-22,73.0,Corporate,Dining,112661.09333333332,Very High
CUST0000126,Pune,Salaried,15L-30L,2018-08-16,96.0,Consumer,Fuel,28172.02142857143,High
CUST0000127,Ahmedabad,Self-employed,3L-7L,2019-01-13,91.0,Consumer,Shopping,15487.212,Medium
CUST0000128,Mumbai,Salaried,15L-30L,2023-03-11,41.0,Corporate,Travel,23430.353333333333,High
CUST0000129,Bengaluru,Salaried,3L-7L,2022-05-16,51.0,Consumer,Travel,19977.7525,Medium
CUST0000130,Delhi,Student,7L-15L,2022-05-04,51.0,Consumer,Health,10741.583999999999,Medium
CUST0000131,Jaipur,Salaried,<3L,2020-10-22,69.0,Commercial,Shopping,3492.078,Low
CUST0000132,Chennai,Salaried,7L-15L,2021-02-05,66.0,Consumer,Shopping,3511.091666666667,Low
CUST0000133,Jaipur,Government Employee,3L-7L,2021-08-18,60.0,Consumer,Health,1006.9,Low
CUST0000134,Hyderabad,Student,3L-7L,2024-02-27,29.0,Consumer,Shopping,6881.445,Medium
CUST0000135,Mumbai,Government Employee,7L-15L,2021-10-08,58.0,Corporate,Dining,25121.968,High
CUST0000136,Ranchi,Salaried,7L-15L,2023-04-13,40.0,Consumer,General/cashback,8665.265714285715,Medium
CUST0000137,Delhi,Business Owner,7L-15L,2018-10-21,94.0,Corporate,Travel,7159.3,Medium
CUST0000138,Delhi,Business Owner,3L-7L,2019-05-16,87.0,Commercial,Shopping,13423.258000000002,Medium
CUST0000139,Bengaluru,Retired,7L-15L,2023-05-06,39.0,Corporate,Fuel,17574.462,Medium
CUST0000140,Mysuru,Salaried,7L-15L,2022-01-02,55.0,Consumer,Dining,9189.45,Medium
CUST0000141,Surat,Self-employed,15L-30L,2020-08-30,71.0,Commercial,Dining,31181.17142857143,High
CUST0000142,Surat,Salaried,7L-15L,2021-07-21,61.0,Consumer,Shopping,21791.292857142857,High
CUST0000143,Madurai,Business Owner,7L-15L,2023-05-29,38.0,Commercial,General/cashback,19128.781666666666,Medium
CUST0000144,Delhi,Salaried,15L-30L,2020-01-24,78.0,Corporate,Travel,35697.0725,High
CUST0000145,Mysuru,Self-employed,7L-15L,2019-01-20,91.0,Consumer,General/cashback,14875.383333333333,Medium
CUST0000146,Bengaluru,Business Owner,7L-15L,2019-08-21,84.0,Commercial,Travel,21221.962857142855,High
CUST0000147,Surat,Government Employee,<3L,2022-04-28,51.0,Consumer,Dining,5444.076666666667,Medium
CUST0000148,Pune,Government Employee,7L-15L,2019-04-21,88.0,Consumer,General/cashback,14596.271666666667,Medium
CUST0000149,Pune,Business Owner,7L-15L,2019-03-14,89.0,Consumer,Health,10052.982857142855,Medium
CUST0000150,Ranchi,Salaried,3L-7L,2019-02-16,90.0,Consumer,Shopping,16997.8,Medium
CUST0000151,Bengaluru,Government Employee,30L+,2019-07-16,85.0,Commercial,Dining,138725.69,Very High
CUST0000152,Madurai,Salaried,<3L,2022-09-04,47.0,Commercial,Shopping,2174.23,Low
CUST0000153,Pune,Salaried,7L-15L,2021-06-15,62.0,Consumer,Dining,24961.494,High
CUST0000154,Kochi,Self-employed,30L+,2020-07-31,72.0,Commercial,General/cashback,116885.87166666666,Very High
CUST0000155,Dehradun,Business Owner,3L-7L,2019-08-10,84.0,Commercial,Travel,2341.5633333333335,Low
CUST0000156,Mumbai,Salaried,3L-7L,2023-10-05,34.0,Corporate,General/cashback,15840.564000000002,Medium
CUST0000157,Patna,Salaried,15L-30L,2024-01-09,31.0,Commercial,General/cashback,27112.448571428573,High
CUST0000158,Lucknow,Salaried,3L-7L,2018-09-09,95.0,Consumer,General/cashback,11266.404999999999,Medium
CUST0000159,Nagpur,Business Owner,<3L,2020-04-20,76.0,Commercial,Health,3682.83,Low
CUST0000160,Bengaluru,Freelancer,7L-15L,2022-11-01,45.0,Consumer,Fuel,5513.772,Medium
CUST0000161,Jaipur,Self-employed,3L-7L,2018-07-12,97.0,Commercial,Fuel,4440.0125,Low
CUST0000162,Kochi,Self-employed,15L-30L,2022-02-09,54.0,Consumer,General/cashback,48248.305,High
CUST0000163,Kolkata,Government Employee,3L-7L,2020-09-05,71.0,Consumer,General/cashback,2497.7625,Low
CUST0000164,Bengaluru,Self-employed,15L-30L,2018-11-30,92.0,Consumer,Travel,45570.119999999995,High
CUST0000165,Hyderabad,Self-employed,<3L,2019-05-13,87.0,Consumer,Dining,18665.855,Medium
CUST0000166,Visakhapatnam,Business Owner,15L-30L,2020-09-09,71.0,Corporate,Dining,26101.76,High
CUST0000167,Mumbai,Freelancer,<3L,2021-02-26,65.0,Consumer,General/cashback,18378.1675,Medium
CUST0000168,Nagpur,Freelancer,30L+,2022-09-18,47.0,Commercial,Travel,81097.18285714286,Very High
CUST0000169,Madurai,Salaried,<3L,2023-05-16,39.0,Consumer,Fuel,7849.176666666666,Medium
CUST0000170,Mumbai,Government Employee,30L+,2023-11-28,32.0,Corporate,General/cashback,59930.27142857143,High
CUST0000171,Bengaluru,Self-employed,15L-30L,2024-04-27,27.0,Commercial,Fuel,20935.894285714283,High
CUST0000172,Nagpur,Retired,7L-15L,2021-07-12,61.0,Consumer,General/cashback,13646.268333333333,Medium
CUST0000173,Mumbai,Self-employed,<3L,2022-05-09,51.0,Consumer,Fuel,6031.006666666667,Medium
CUST0000174,Lucknow,Self-employed,7L-15L,2020-12-04,68.0,Commercial,General/cashback,14420.809999999998,Medium
CUST0000175,Nagpur,Salaried,7L-15L,2021-05-25,62.0,Consumer,Travel,7922.297500000001,Medium
CUST0000176,Surat,Self-employed,7L-15L,2020-06-19,74.0,Consumer,Travel,32896.76,High
CUST0000177,Pune,Self-employed,15L-30L,2023-04-10,40.0,Corporate,Shopping,29851.501428571435,High
CUST0000178,Nagpur,Government Employee,30L+,2023-06-12,38.0,Commercial,Dining,75574.06999999999,Very High
CUST0000179,Lucknow,Government Employee,30L+,2023-09-02,35.0,Corporate,General/cashback,153806.56333333335,Very High
CUST0000180,Bengaluru,Self-employed,7L-15L,2020-03-30,76.0,Consumer,Shopping,31486.359999999997,High
CUST0000181,Jaipur,Government Employee,<3L,2019-01-13,91.0,Consumer,General/cashback,1032.6866666666667,Low
CUST0000182,Visakhapatnam,Government Employee,3L-7L,2022-04-10,52.0,Consumer,General/cashback,6470.276666666666,Medium
CUST0000183,Kochi,Retired,7L-15L,2023-07-26,36.0,Consumer,Travel,15502.118333333332,Medium
CUST0000184,Kolkata,Salaried,30L+,2018-11-01,93.0,Commercial,Shopping,86794.58833333333,Very High
CUST0000185,Chennai,Salaried,7L-15L,2023-01-22,42.0,Consumer,Shopping,10791.202,Medium
CUST0000186,Delhi,Retired,3L-7L,2020-07-21,73.0,Consumer,General/cashback,12703.308,Medium
CUST0000187,Hyderabad,Business Owner,7L-15L,2019-03-16,89.0,Consumer,Travel,15545.813333333334,Medium
CUST0000188,Mumbai,Self-employed,7L-15L,2018-12-27,91.0,Consumer,General/cashback,16269.35333333333,Medium
CUST0000189,Madurai,Self-employed,30L+,2023-02-04,42.0,Commercial,Health,84198.60666666667,Very High
CUST0000190,Hyderabad,Salaried,15L-30L,2024-03-28,28.0,Consumer,Dining,41443.450000000004,High
CUST0000191,Bhopal,Salaried,<3L,2021-12-05,56.0,Commercial,General/cashback,652.4466666666667,Low
CUST0000192,Bengaluru,Salaried,7L-15L,2019-01-28,90.0,Consumer,Dining,7201.781666666666,Medium
CUST0000193,Hyderabad,Self-employed,<3L,2021-08-15,60.0,Consumer,Health,1824.7666666666667,Low
CUST0000194,Pune,Self-employed,15L-30L,2019-03-24,88.0,Corporate,General/cashback,26792.376666666667,High
CUST0000195,Chennai,Self-employed,15L-30L,2019-06-28,85.0,Consumer,Dining,18162.126666666667,Medium
CUST0000196,Bhopal,Salaried,<3L,2021-05-25,62.0,Commercial,Fuel,5780.396,Medium
CUST0000197,Dehradun,Salaried,3L-7L,2019-04-12,88.0,Consumer,General/cashback,6964.134285714285,Medium
CUST0000198,Visakhapatnam,Self-employed,15L-30L,2018-08-23,95.0,Consumer,Shopping,46271.18428571429,High
CUST0000199,Bengaluru,Salaried,15L-30L,2020-05-26,74.0,Consumer,General/cashback,50647.60166666666,High
CUST0000200,Chandigarh,Government Employee,7L-15L,2019-12-27,79.0,Consumer,Shopping,5071.264,Medium
CUST0000201,Bengaluru,Self-employed,7L-15L,2021-10-11,58.0,Consumer,General/cashback,6553.982000000001,Medium
CUST0000202,Varanasi,Salaried,30L+,2018-07-14,97.0,Corporate,Travel,86216.25333333333,Very High
CUST0000203,Ahmedabad,Self-employed,7L-15L,2022-04-28,51.0,Consumer,Dining,28592.741666666665,High
CUST0000204,Chennai,Business Owner,30L+,2019-12-12,80.0,Consumer,General/cashback,105591.4785714286,Very High
CUST0000205,Bengaluru,Salaried,3L-7L,2018-11-06,93.0,Consumer,Health,6807.758,Medium
CUST0000206,Mumbai,Freelancer,3L-7L,2019-01-03,91.0,Consumer,General/cashback,18198.7825,Medium
CUST0000207,Hyderabad,Salaried,<3L,2019-03-15,89.0,Consumer,General/cashback,12152.083333333334,Medium
CUST0000208,Varanasi,Self-employed,7L-15L,2023-04-03,40.0,Consumer,Shopping,9045.878,Medium
CUST0000209,Bhopal,Salaried,7L-15L,2018-08-15,96.0,Corporate,Dining,10928.034999999998,Medium
CUST0000210,Dehradun,Business Owner,<3L,2023-04-03,40.0,Commercial,Travel,1369.36,Low
CUST0000211,Delhi,Business Owner,30L+,2023-01-09,43.0,Consumer,Travel,89880.32833333332,Very High
CUST0000212,Lucknow,Government Employee,30L+,2021-06-01,62.0,Corporate,General/cashback,52615.49714285713,High
CUST0000213,Hyderabad,Government Employee,3L-7L,2023-07-26,36.0,Commercial,Fuel,6451.7975,Medium
CUST0000214,Jaipur,Salaried,7L-15L,2020-02-08,78.0,Consumer,Dining,23624.143333333337,High
CUST0000215,Chennai,Business Owner,15L-30L,2018-12-06,92.0,Corporate,Travel,26022.565000000002,High
CUST0000216,Hyderabad,Self-employed,<3L,2022-11-07,45.0,Corporate,Fuel,2071.515,Low
CUST0000217,Lucknow,Business Owner,7L-15L,2022-06-25,49.0,Consumer,Dining,10479.084000000003,Medium
CUST0000218,Bengaluru,Self-employed,7L-15L,2021-12-14,56.0,Consumer,Travel,10640.94,Medium
CUST0000219,Kolkata,Self-employed,30L+,2023-11-27,32.0,Commercial,Travel,61133.26571428571,Very High
CUST0000220,Kochi,Freelancer,15L-30L,2023-05-26,38.0,Consumer,Travel,21143.605,High
CUST0000221,Delhi,Self-employed,30L+,2018-10-21,94.0,Corporate,Dining,106783.372,Very High
CUST0000222,Ranchi,Government Employee,7L-15L,2018-12-11,92.0,Consumer,Shopping,11207.052,Medium
CUST0000223,Ahmedabad,Freelancer,3L-7L,2021-06-13,62.0,Consumer,General/cashback,19556.406666666666,Medium
CUST0000224,Coimbatore,Self-employed,3L-7L,2020-01-07,79.0,Consumer,Travel,3059.1075,Low
CUST0000225,Kochi,Salaried,7L-15L,2024-02-17,30.0,Consumer,General/cashback,17360.965,Medium
CUST0000226,Indore,Salaried,3L-7L,2024-03-11,29.0,Consumer,Fuel,8103.896666666667,Medium
CUST0000227,Indore,Salaried,7L-15L,2019-03-09,89.0,Consumer,Fuel,15238.717142857144,Medium
CUST0000228,Visakhapatnam,Salaried,3L-7L,2024-04-14,28.0,Consumer,General/cashback,11988.062,Medium
CUST0000229,Surat,Salaried,3L-7L,2020-03-28,76.0,Commercial,Travel,4036.940000000001,Low
CUST0000230,Hyderabad,Business Owner,7L-15L,2018-07-17,97.0,Consumer,General/cashback,5137.7775,Medium
CUST0000231,Delhi,Salaried,15L-30L,2019-09-24,82.0,Corporate,Fuel,37667.378333333334,High
CUST0000232,Surat,Salaried,7L-15L,2022-01-28,54.0,Consumer,Shopping,6976.892,Medium
CUST0000233,Mumbai,Student,15L-30L,2021-03-31,64.0,Corporate,Health,30470.256666666664,High
CUST0000234,Hyderabad,Government Employee,7L-15L,2020-11-09,69.0,Consumer,Shopping,29375.078,High
CUST0000235,Pune,Salaried,15L-30L,2021-10-16,58.0,Consumer,Travel,42246.044,High
CUST0000236,Delhi,Retired,7L-15L,2018-10-24,93.0,Consumer,Travel,7889.336666666669,Medium
CUST0000237,Bengaluru,Government Employee,7L-15L,2024-02-27,29.0,Consumer,Fuel,15125.719999999998,Medium
CUST0000238,Surat,Government Employee,7L-15L,2018-10-07,94.0,Commercial,Travel,6495.570000000001,Medium
CUST0000239,Bhopal,Business Owner,7L-15L,2019-05-04,87.0,Commercial,Travel,3987.6133333333332,Low
CUST0000240,Coimbatore,Government Employee,<3L,2023-11-07,33.0,Consumer,General/cashback,1312.028,Low
CUST0000241,Chennai,Salaried,15L-30L,2021-01-23,66.0,Commercial,Shopping,24822.22333333333,High
CUST0000242,Jaipur,Business Owner,3L-7L,2020-08-29,71.0,Commercial,Travel,11327.535714285716,Medium
CUST0000243,Jaipur,Salaried,15L-30L,2018-08-05,96.0,Consumer,Dining,51283.496,High
CUST0000244,Kolkata,Salaried,15L-30L,2018-07-19,97.0,Consumer,Travel,10981.296666666667,Medium
CUST0000245,Kochi,Retired,7L-15L,2021-08-20,60.0,Consumer,Travel,22144.600000000002,High
CUST0000246,Bengaluru,Self-employed,15L-30L,2023-05-10,39.0,Consumer,Fuel,62414.450000000004,Very High
CUST0000247,Mysuru,Salaried,7L-15L,2019-08-27,83.0,Consumer,Dining,4809.798000000001,Low
CUST0000248,Delhi,Salaried,3L-7L,2020-07-01,73.0,Corporate,Fuel,2501.235,Low
CUST0000249,Coimbatore,Self-employed,7L-15L,2021-05-19,63.0,Consumer,Dining,12714.437142857143,Medium
CUST0000250,Lucknow,Government Employee,30L+,2019-11-04,81.0,Commercial,Shopping,67666.89142857141,Very High
CUST0000251,Hyderabad,Government Employee,<3L,2023-12-06,32.0,Consumer,Shopping,2552.2966666666666,Low
CUST0000252,Chandigarh,Salaried,3L-7L,2023-12-21,32.0,Consumer,General/cashback,15963.269999999999,Medium
